Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
42090,-0.00,1.00,0.00,30.32,2.34,0.82,0.16
42194,0.03,1.00,0.00,30.27,2.31,0.76,0.13
42299,-0.01,0.99,0.00,30.37,2.40,0.78,0.11
42403,0.04,1.01,0.01,30.27,2.20,0.82,-0.05
42508,0.02,1.00,0.01,30.22,2.40,0.79,-0.02
42612,0.01,1.00,0.00,30.27,2.28,0.81,0.20
42718,0.02,1.00,0.00,30.27,2.47,0.76,0.16
42822,0.04,1.01,0.00,30.22,2.27,0.66,0.10
42927,-0.00,0.99,0.01,30.22,2.11,0.69,-0.21
43031,0.03,1.00,0.00,30.37,2.20,0.96,0.05
43136,0.02,1.01,0.01,30.37,2.25,0.73,0.34
43240,0.02,1.00,0.00,30.27,2.37,0.69,0.31
43344,0.00,0.99,-0.00,30.32,2.24,0.89,0.15
43449,0.00,0.99,0.00,30.32,2.31,0.79,0.06
43553,0.03,1.00,-0.00,30.27,2.12,0.80,0.09
43658,-0.00,0.99,0.00,30.37,2.28,0.94,0.19
43763,0.02,0.99,-0.00,30.32,2.23,0.78,0.12
43868,0.03,0.99,0.00,30.32,2.02,0.49,0.01
43972,0.04,1.00,-0.00,30.27,2.17,0.56,0.16
44077,-0.01,0.99,0.01,30.27,2.24,0.56,0.08
44181,-0.01,0.99,0.00,30.37,2.27,0.76,-0.05
44285,0.02,1.00,-0.00,30.22,2.29,0.70,0.05
